,Economic activity ,,,,,Pressures,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ISIC Unique code,ISIC Section,ISIC Division,ISIC Group,ISIC Class,ISIC level used for analysis,"Disturbances (e.g noise, light)",Area of freshwater use,Emissions of GHG,Area of seabed use,Emissions of non-GHG air pollutants,"Other biotic resource extraction (e.g. fish, timber)",Other abiotic resource extraction,Emissions of toxic soil and water pollutants,Emissions of nutrient soil and water pollutants,Generation and release of solid waste,Area of land use,Volume of water use,Introduction of invasive species,References
I_55_559,Accommodation and food service activities,Accommodation,Other accommodation,,Group,Accommodation can cause disturbances like noise and light pollution due to use by guests that can disrupt or negatively affect species populations.,N/A,"Other accommodation activities using facilities that is powered using on-site energy generators can release greenhouse gases emissions from energy use for the heating, cooling and lighting the facilities, contributing to air pollution.",N/A,N/A,N/A,N/A,Accommodation generates large quantities of waste and wastewater which can include toxic pollutants to soil and water respectively.,Waste and wastewater produced by accommodation could contain nutrient pollutants.,"Accommodation activities create large volumes of solid waste, which contribute to municipal solid waste. Types of solid waste vary but include materials such as glass and plastic.",Accommodation buildings occupy land. ,"Accommodation services, such as hotels and resorts, can use a significant amount of water for a variety of purposes, including toilet flushing, showering, laundry, and landscaping.",Tourism and the movement of tourists between hotels could lead to spread of invasive species.,"Jeffrey Rosenblum, †, Arpad Horvath, ‡ and and Chris Hendrickson*, † 2000. Environmental Implications of Service Industries. Available at: https://pubs.acs.org/doi/abs/10.1021/es9914083.
https://www.atlantis-press.com/proceedings/atf-16/25856861
https://www.sciencedirect.com/science/article/pii/S0360132309003539
https://www.sciencedirect.com/science/article/pii/S027843190400115X
https://reader.elsevier.com/reader/sd/pii/S1877705817331260?token=E884CC7BF73B8E3879F17B3AFF702F9B0BED669699E26DE4AFEB08D7D0DE4B7E1EDC54C30CE27B47E2AE46F9E6DF5155&originRegion=eu-west-1&originCreation=20230519125125
https://www.ajol.info/index.php/njt/article/view/140627 https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf"
A_3_31,"Agriculture, forestry and fishing",Fishing and aquaculture,Fishing,,Group,"Fishing can cause disturbances such as noise pollution. It can be a stressor to freshwater and marine life and ecosystems, for instance by impinging on the acoustic habitat of marine mammals. ",Certain types of fishing require occupation of significant water areas and use equipment that contributes to degradation of freshwater and marine ecosystems.,Fishing activities can release greenhouse gases emissions from burning of fossil fuels by fishing vessels and from refrigeration systems.,"Some fishing activities occupy or interact with the seabed (e.g. beam trawling, dredging). This can significantly damage seabed habitats and morphologies such as reef formations.","Fishing activities using boats/ships with combustion engines can release non-GHG emissions into the environment, including CO, NOx, SOx, PM, VOC, and NH3.","Approximately 87% of wild fisheries are exploited unsustainably (fish are removed at rates higher than species' recovery rates), leading to overfishing on a global scale. Entire populations of fish species can collapse due to wild fishing, including non-target species (referred to as bycatch). Additionally, recreational fishing can put pressure on fish populations. Overfishing, excessive catch-and-release practices, and illegal fishing can deplete fish stocks, disrupt aquatic ecosystems, and harm the overall biodiversity of rivers, lakes, and oceans.",N/A,"Most fishing activities require use of fishing boats and ships, which can emit toxic pollutants through (1) chemicals used for washing of ships that can affect erosion of estuaries, sediment resuspension, and turbidity, (2) oil and fuel leakage from motors, (3) spillage of antifouling paints.",ND,"Fishing activities can produce solid waste including discarded or lost equipment as well as surplus catch. If improperly disposed of, this can lead to habitat degradation and water pollution.",N/A,"Fishing uses a significant amount of water for a variety of purposes such as transporting fish, cleaning and processing fish, and for cooling equipment.","Invasive species can be brought into a new environment on ships, in fishing equipment or through accidental releases in different ecosystems.","https://royalsocietypublishing.org/doi/10.1098/rspb.2016.0839
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3353277/
https://stecf.jrc.ec.europa.eu/c/document_library/get_file?uuid=924c1ba8-94af-440d-94cb-f9cb124d2d57&groupId=12762
https://www.plymouth.ac.uk/discover/what-are-invasive-species#:~:text=They%20can%20be%20brought%20into,the%20ecosystems%20provide%20us%20with.
https://c402277.ssl.cf1.rackcdn.com/publications/458/files/original/2050_criteria_final_low_res_online_viewing.pdf?1348517472
https://link.springer.com/article/10.1065/lca2006.01.236
https://www.nature.com/articles/35016500
https://www.researchgate.net/publication/324146378_Fuel_use_and_greenhouse_gas_emissions_of_world_fisheries
https://www.researchgate.net/profile/Friederike-Ziegler-2/publication/256048653_The_Carbon_Footprint_of_Norwegian_Seafood_Products_on_the_Global_Seafood_Market/links/59953c78458515c0ce69659f/The-Carbon-Footprint-of-Norwegian-Seafood-Products-on-the-Global-Seafood-Market.pdf
https://www.sciencedirect.com/science/article/pii/S0025326X20309954
https://academic.oup.com/bioscience/article/54/4/297/284117
https://www.seafish.org/responsible-sourcing/aquaculture-farming-seafood/species-farmed-in-aquaculture/aquaculture-profiles/tilapia/nutrient-pollution/#:~:text=As%20an%20open%20system%2C%20net,in%20which%20they%20are%20situated."
A_2_22,"Agriculture, forestry and fishing",Forestry and logging,Logging,,Group,"Logging activities can cause disturbances such as noise pollution,  generating intense noise for periods of days to weeks in a relatively small area. This can disrupt species populations, for example leading some species to temporarily abandon the area.  ",Some logging activities take place in or near freshwater ecosystems. Some logging activities also use purpose-built infrastructure (e.g. roads or waterways) in the freshwater ecosystems.,Logging can release greenhouse gas emissions from the use heavy machinery. Production of charcoal in the forest using tradition methods also releases grenhouse gas emissions.,ND,"Logging can release non-GHG air pollutants from the use heavy machinery, including NOx, N2O, SO2 and CO. These emissions contribute to acidification, eutrophication and photo-oxidant formation.","Logging involves extraction of roundwood and firewood, often in ways and at rates that exceed the capacity of the forest to restore.",N/A,"Logging releases toxic soil and water pollutants due to the use of heavy machinery (e.g. heavy metals such as Pb, Cu, Cr, Fe, Ni, Zn). The use of heavy machinery, charcoal production, and saw dust leachate from logging increases the levels of soil and water pollution. Logging of trees can also contribute to increased runoff of mercury from the soils and reduced capacity of the forest to withdraw mercury from air, which can combine to significantly increase mercury concentration in freshwater ecosystems. Logging also releases metal and base cation from the forest soil, increasing the concentration of these elements in waterways and leading to changes to acidity and temperature.",N/A,"Logging generates solid waste. The majority of this waste is damaged residuals, abandoned logs, stumps, tops and branches. If improperly disposed of, this can lead to habitat degradation and air pollution.",Logging activities can transform significant areas and contribute to the degradation of other areas in their proximity (e.g. increased fire risk from exposure of adjacent uncut forests or leftover ground vegetation).,"Logging uses a significant amount of water for transporting logs, cleaning equipment, and fire suppression.","Logging can contribute to spread of invasive forest species by improper timber waste disposal and accidental spread of seeds and plants on machinery or worker's uniforms. Unsuitable logging practices can also weaken native forests, reducing their capacity to control spread of new species.","https://www.sierraforestlegacy.org/FC_FireForestEcology/FFE_LoggingImpacts.php
https://pdf.sciencedirectassets.com/271259/1-s2.0-S0378112722X00194/1-s2.0-S0378112722003917/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJr%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCICXC7iFBL58oW3atvAOMNuNyRB4z3BeAoOAEap2bwV3yAiBuUN2YSBK9O8OZritl5HnNYHIHNLunzM3%2FQBSCoa%2FZiCq7BQjT%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIM6bDKEioZCm%2BcZm6iKo8FhQ8tr44d5ex7cAl9BLR0H83PSzUgSwv2IcNbdpjNhXlqNaGacOb3G1JBJvCTki3Scxmc98UUXgG45FCBhDj8U72%2B0aDQ6RAi%2Bvsq8UgGB3rjytZXkOeOfxuhUWCXL4Xy8FB3ETIYcZZ0FRiV1nJb8YB%2FKbERXPJ%2FVLEXf5BIbAEBEU7AYSuLzfb52EvgAofsvbdv0zQoD7Nma%2FpFTXlvyWzaX4HCt0PbHVg2RkhPFLVsVWhtJmV4s%2FsT1h0f9TIwl2oggiaXzIe%2BebNr%2BsfHKkxTysapnvc3vO4yDmUNdqCV6bx4Sf3IovYRLjnnso7MVHIiIQn3nHQgn3w2WzB4Z0%2B4cwai4N5KRB5NuY4EuDhmVD8%2FTpRCkr7VjTGWKy7jbL8ifCryZM6cXnbLLINhD8OPf6DYeb73hWUOnSUpslH1UUUODvWszspPK%2F6Z9Rf41i62mtl5DiqG0hJfaaMH2HhKR0nY9qZP3pWpjwQf1tCr0b9Aan9zyFi5ti0fuZ6FesztJsu1wXD8C6sKVRpUH8g%2ByNpk%2F%2FTprmqwVlNzoohsYVsUNTfpuKYj%2FXmp5c7gLWcrRMMIP%2B9qnnSbs%2FOa%2F%2BEtz4hWCdXEwBAu8vyISIwYk%2Blnh6Z%2FgECRsKKMOC0kO97V0nkqSw6X%2F%2Bkz4sbJLPS6%2BdLAvfA9ISrqdLXmCxns01eNAVLJQ%2BJ8BZIbwQHyJ5QjkF9MjjRZq3cPIVebRf8OpjJpvTe1aoQa4B8ibS9isUhRidP%2F4HX469KIiWjTdpwad2Tw4G0dIoZimSSH%2BEowdgKFqRJ1%2FZDNVqElc05a6jUPznpwNMTPeuU32HGZHPRWkM2x16iOPugUG%2BLNhWGI%2BCg0NEQpzrMlRe2t6DCU7%2BajBjqyAZohzxAUcc118Jmts8enku0e6YprVncKZwHkFkdDsvLPCL72RFixBGVde23tNUw7cspYRZcmof65IRkV4XhHcnWLO64%2FCZye6EUwxJjfjzsPUBhR%2Fk%2BmJPlf8QxP1%2FMeryD35SxnoFQuZQpVcQv0RdQKLKaSLfN6ddRW9Iem4ze2Hdic%2BHOD7mDCT2ifGtU7pCcYh6yd4lFEeU4PyTiI2kr3LRVpPe1XY46Jiv57aelyp18%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230602T104959Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4V762GGH%2F20230602%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e680987e04a2af3db5fe5b59aa7974599a39ef83a25802c7c370ba3c3dbe7ded&hash=83711be7b284e190c184834e7813cf43f27eba62511edeb9ccaef3fcfc5cf032&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0378112722003917&tid=spdf-f323eb48-9632-4ddf-9ca9-0825b272fab8&sid=8176a5ee4fff294e12991bd2851d8f9ba68cgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=010c5104570150565257&rr=7d0f22029b4571a5&cc=gb


http://www.fao.org/docrep/t0550e/t0550e0a.htm
https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2664.2008.01600.x
https://academic.oup.com/forestscience/article/62/2/166/4564837
https://environmentalsystemsresearch.springeropen.com/articles/10.1186/s40068-018-0109-x
https://cals.arizona.edu/classes/wfsc578/Bayne%20et%20al.%202008.%20Impacts%20of%20chronic%20anthropogenic%20noise%20on%20abundance%20of%20songbirds.pdf
https://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_10_4_6643_Ramasamy_Environmental_Emissions_Sawmilling_Malaysia/3797#"
I_55_551,Accommodation and food service activities,Accommodation,Short term accommodation activities,,Group,Accommodation can cause disturbances like noise and light pollution due to use by guests that can disrupt or negatively affect species populations.,"Short term accommodation activities can use large areas of freshwater ecosystems, which can lead to sedimentation, removal of vegetation and/or modification of surface and subterranean water flows, resulting in drying or flooding and river diversion and canalisation.","Short term accommodation activities using facilities that is powered using on-site energy generators can release greenhouse gases emissions from energy use for the heating, cooling and lighting the facilities, contributing to air pollution.",N/A,N/A,N/A,N/A,Accommodation generates large quantities of waste and wastewater which can include toxic pollutants to soil and water respectively.,Waste and wastewater produced by accommodation could contain nutrient pollutants.,"Accommodation activities create large volumes of solid waste, which contribute to municipal solid waste. Types of solid waste vary but include materials such as glass and plastic.",Accommodation buildings occupy land. ,"Accommodation services, such as hotels and resorts, can use a significant amount of water for a variety of purposes, including toilet flushing, showering, laundry, and landscaping.",Tourism and the movement of tourists between hotels could lead to spread of invasive species.,"Jeffrey Rosenblum, †, Arpad Horvath, ‡ and and Chris Hendrickson*, † 2000. Environmental Implications of Service Industries. Available at: https://pubs.acs.org/doi/abs/10.1021/es9914083.
https://www.atlantis-press.com/proceedings/atf-16/25856861
https://www.sciencedirect.com/science/article/pii/S0360132309003539
https://www.sciencedirect.com/science/article/pii/S027843190400115X
https://reader.elsevier.com/reader/sd/pii/S1877705817331260?token=E884CC7BF73B8E3879F17B3AFF702F9B0BED669699E26DE4AFEB08D7D0DE4B7E1EDC54C30CE27B47E2AE46F9E6DF5155&originRegion=eu-west-1&originCreation=20230519125125
https://www.ajol.info/index.php/njt/article/view/140627 https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf
https://www.sciencedirect.com/science/article/pii/S0048969720308664?casa_token=vXQ40JCeOCEAAAAA:LI8Xqz9E4NHe0aFHTrdqSthyzLN1XKFc7XAWfr-dxvbKZoA9q3_-kMa1QhNSxfOwEO2c4NEqmgM
https://www.tandfonline.com/doi/full/10.1080/09669582.2016.1257011?casa_token=Yk2JBJH4AcsAAAAA%3ANez45pOpWDXn5BlmVCHefMYwqTZsuWV94Gauc49T1eYVYMdSzmUldhap0_na4eH6tqJzqwl2CISLMg
https://college.agrilife.org/rptsweb/wp-content/uploads/sites/21/2015/05/The-Effect-of-Rivers-Streams-and-Canals-on-Property-Values.pdf
https://wires.onlinelibrary.wiley.com/doi/10.1002/wat2.1381"
A_2_24,"Agriculture, forestry and fishing",Forestry and logging,Support services to forestry,,Group,"Some support services to forestry (e.g. transport of logs) can cause disturbances such as noise pollution, generating noise for periods of days to weeks in a relatively small area. This can disrupt species populations, for example leading some species to temporarily abandon the area.  ",N/A,Some support services to forestry may release greenhouse gases emissions (e.g. transportation of logs using vehicles).,N/A,Use of insecticides in managed forests can release non-GHG air pollutants.,ND,N/A,"In managed forests, insecticides are used to increase productivity, which can release toxic soil and water pollutants into surrounding soil and waterways.",N/A,Support services to forestry may produce a marginal amount of waste.,N/A,"Support services to forestry use a significant amount of water for transporting timber, storing logs, and providing fire suppression services.",Support services to forestry can contribute to the spread of invasive species through unsuitable pest control practices. They can also contribute to spread of invasive forest species by improper timber waste disposal and accidental spread of seeds and plants on machinery or worker's uniforms.,"https://pdf.sciencedirectassets.com/271259/1-s2.0-S0378112722X00194/1-s2.0-S0378112722003917/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJr%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCICXC7iFBL58oW3atvAOMNuNyRB4z3BeAoOAEap2bwV3yAiBuUN2YSBK9O8OZritl5HnNYHIHNLunzM3%2FQBSCoa%2FZiCq7BQjT%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIM6bDKEioZCm%2BcZm6iKo8FhQ8tr44d5ex7cAl9BLR0H83PSzUgSwv2IcNbdpjNhXlqNaGacOb3G1JBJvCTki3Scxmc98UUXgG45FCBhDj8U72%2B0aDQ6RAi%2Bvsq8UgGB3rjytZXkOeOfxuhUWCXL4Xy8FB3ETIYcZZ0FRiV1nJb8YB%2FKbERXPJ%2FVLEXf5BIbAEBEU7AYSuLzfb52EvgAofsvbdv0zQoD7Nma%2FpFTXlvyWzaX4HCt0PbHVg2RkhPFLVsVWhtJmV4s%2FsT1h0f9TIwl2oggiaXzIe%2BebNr%2BsfHKkxTysapnvc3vO4yDmUNdqCV6bx4Sf3IovYRLjnnso7MVHIiIQn3nHQgn3w2WzB4Z0%2B4cwai4N5KRB5NuY4EuDhmVD8%2FTpRCkr7VjTGWKy7jbL8ifCryZM6cXnbLLINhD8OPf6DYeb73hWUOnSUpslH1UUUODvWszspPK%2F6Z9Rf41i62mtl5DiqG0hJfaaMH2HhKR0nY9qZP3pWpjwQf1tCr0b9Aan9zyFi5ti0fuZ6FesztJsu1wXD8C6sKVRpUH8g%2ByNpk%2F%2FTprmqwVlNzoohsYVsUNTfpuKYj%2FXmp5c7gLWcrRMMIP%2B9qnnSbs%2FOa%2F%2BEtz4hWCdXEwBAu8vyISIwYk%2Blnh6Z%2FgECRsKKMOC0kO97V0nkqSw6X%2F%2Bkz4sbJLPS6%2BdLAvfA9ISrqdLXmCxns01eNAVLJQ%2BJ8BZIbwQHyJ5QjkF9MjjRZq3cPIVebRf8OpjJpvTe1aoQa4B8ibS9isUhRidP%2F4HX469KIiWjTdpwad2Tw4G0dIoZimSSH%2BEowdgKFqRJ1%2FZDNVqElc05a6jUPznpwNMTPeuU32HGZHPRWkM2x16iOPugUG%2BLNhWGI%2BCg0NEQpzrMlRe2t6DCU7%2BajBjqyAZohzxAUcc118Jmts8enku0e6YprVncKZwHkFkdDsvLPCL72RFixBGVde23tNUw7cspYRZcmof65IRkV4XhHcnWLO64%2FCZye6EUwxJjfjzsPUBhR%2Fk%2BmJPlf8QxP1%2FMeryD35SxnoFQuZQpVcQv0RdQKLKaSLfN6ddRW9Iem4ze2Hdic%2BHOD7mDCT2ifGtU7pCcYh6yd4lFEeU4PyTiI2kr3LRVpPe1XY46Jiv57aelyp18%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230602T104959Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4V762GGH%2F20230602%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e680987e04a2af3db5fe5b59aa7974599a39ef83a25802c7c370ba3c3dbe7ded&hash=83711be7b284e190c184834e7813cf43f27eba62511edeb9ccaef3fcfc5cf032&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0378112722003917&tid=spdf-f323eb48-9632-4ddf-9ca9-0825b272fab8&sid=8176a5ee4fff294e12991bd2851d8f9ba68cgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=010c5104570150565257&rr=7d0f22029b4571a5&cc=gb
https://www.fao.org/forestry/aliens/52520/en/
https://www.forestryfocus.ie/social-environmental-aspects/forests-and-water/forestry-and-water-quality/
https://www.purduelandscapereport.org/article/how-do-trees-use-water/#:~:text=Trees%20can%20absorb%20between%2010,loss%20during%20the%20daytime%20hours.
https://www.sciencedirect.com/science/article/pii/S030917081730012X"
A_2_23,"Agriculture, forestry and fishing",Forestry and logging,Gathering of non-wood forest products,,Group,Gathering of non-wood forest products can cause disturbances such as noise or obstructing  access to animal's place of shelter.,N/A,N/A,N/A,N/A,"Gathering of non-wood forest products involves extraction of natural materials such as mushrooms, berries, nuts, balata, cork, resins, eelgrass and moss. The rates at which these products are gathered can exceed the restoration capacity of the species populations.",N/A,N/A,ND,"Gathering of non-wood forest products generates organic waste, including scraps, product residues, but also inorganic waste such as containers and bottles. If improperly disposed of, this waste can lead to habitat degradation.",N/A,"Gathering of non-wood forest products uses a significant amount of water for transporting products, cleaning equipment, and controlling pests.",Gathering of non-wood forest products can contribute to spread of invasive species by gatherers accidentally bringing seeds and plants on their clothes or shoes to new ecosystems.,"http://ec.europa.eu/environment/agriculture/pdf/arable.pdf
https://www.sciencedirect.com/science/article/pii/S0301479701904736
https://www.annualreviews.org/doi/pdf/10.1146/annurev-ento-010814-020601
https://www.tandfonline.com/doi/abs/10.1080/07352680490514673
https://www.intechopen.com/books/strategies-of-sustainable-solid-waste-management/agricultural-solid-wastes-causes-effects-and-effective-management
https://www.oecd-ilibrary.org/sites/92389a36-en/index.html?itemId=/content/component/92389a36-en
https://onlinelibrary.wiley.com/doi/full/10.1002/ghg.2011
https://ec.europa.eu/environment/agriculture/pdf/arable.pdf"
H_51_512,Transportation and storage,Air transport,Freight air transport,,Group,"Freight air transport can cause disturbances like noise and light pollution due to aircraft movement. This can disrupt or negatively affect species populations such as altering migration patterns. Aircraft can also strike birds, e.g. during take-off.",Airports may be built on 'reclaimed' freshwater areas such as swamps.,"Freight air transport can release carbon dioxide (CO2) and other indirect greenhouse gases during transport activities, contributing to air pollution. ",Airports for freight air transport may be built on 'reclaimed' seabed areas leading to changes in seabed morphology and hydrodynamic changes along the coastline. ,"Freight air transport activities emit non-GHG pollutants like CO, particulate matter, VOCs, and hydrocarbons. This results from fuel combustion, engine inefficiency, tire wear, fuel dumping, vehicle emissions, and storage tank releases. Other types of air pollutants can also be released in case of accidents.",N/A,N/A,"Freight air transport can emit toxic pollutants through run-off of wastewater and contaminated water from operational procedures, such as spillage of de-icing agents, maintenance and painting chemicals, testing for fire equipment and fuel leakage and spillage from refuelling and storage.","Water and soil pollutants, including phosphorus and nitrogen, may leak from cargo in case of accidents.","Freight air transport generates solid waste. While most waste is collected by waste collection services, some solid waste may be improperly disposed (e.g. glass, plastic and organic waste from passenger trains).",Airports and associated infrastructure such as waste and ground congestion occupy large areas of land.,"Freight air transport uses water for many activities, including washing wheels, cleaning of aircraft, cooling, damping down dust, removing snow and firefighting.",The global air travel network has been identified to be the most important form of travel in the spread of vector-borne diseases and the movement of damaging pest species.,"http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf
https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315
http://journals.sagepub.com/doi/10.1177/0885412207314010
http://www.oecd.org/trade/envtrade/2386636.pdf
https://www.climatewatchdata.org/key-visualizations?topic=sectoral_emissions&visualization=3
https://report.ipcc.ch/ar6/wg2/IPCC_AR6_WGII_FullReport.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049143/
Environment Agency 2001. Scoping guidance on the K1: Scoping the Environmental Impacts of airports and airfields. UK.
Hulme, P.E. 2009. Trade, transport and trouble: managing invasive species pathways in an era of globalization. Journal of Applied Ecology, 46(1): 10–18.
Early, R., Bradley, B.A., Dukes, J.S., Lawler, J.J., Olden, J.D., Blumenthal, D.M., Gonzalez, P., Grosholz, E.D., Ibañez, I., Miller, L.P. et al. 2016. Global threats from invasive alien species in the twenty-first century and national response capacities. Nature Communications, 7: 12485.
Mccullough, D.G., Work, T.T., Cavey, J.F., Liebhold, A.M. and Marshall, D. n.d. Interceptions of nonindigenous plant pests at US ports of entry and border crossings over a 17-year period. Available at: https://link.springer.com/content/pdf/10.1007%2Fs10530-005-1798-4.pdf. [Accessed: 31/05/2018].
Civil Aviation Authority 2017. Information on aviation’s environmental impact. Available at: http://publicapps.caa.co.uk/docs/33/CAP1524EnvironmentalInformation29032017.pdf. [Accessed: 31/05/2018].
https://link.springer.com/article/10.1007/S10163-015-0355-1
https://openknowledge.worldbank.org/handle/10986/17388
https://eur-lex.europa.eu/resource.html?uri=cellar:7bc666c9-2d9c-11eb-b27b-01aa75ed71a1.0001.02/DOC_1&format=PDF
https://www.mcgill.ca/iasl/files/iasl/vii_sustainability_and_environmental_protection_measures_for_airports_final.pdf"
M_71_712,"Professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,Technical testing and analysis,,Group,Technical testing and analysis can cause disturbances like noise pollution due to machinery and the running of vehicles during testing.  This can disrupt or negatively affect species populations.,ND,"Technical testing and analysis using facilities that are powered using on-site energy generators can release greenhouse gas emissions from energy use for the heating, cooling and lighting of the facilities, contributing to air pollution.",ND,Technical testing and analysis conducted from an office building that is powered using on-site energy generators can emit non-GHG air pollutants.,N/A,N/A,"If using an office, technical testing and analysis can produce direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment.  ","Testing related to food hygiene, including veterinary testing and control in relation to food production could cause the emission of nutrient pollutants to water and soil. ","Office buildings associated with service provision can generate solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, rubber and leather.",If the organisation has offices and/or service centres they will  occupy an area of land. ,"Office buildings require water for a variety of purposes such as restrooms, heating and cooling, and landscaping. In some instances, the water is extracted directly from local water bodies (e.g. server farms associated with cloud facilities).",N/A,"ISIC Code 7422 Technical testing and analysis - Lexikon (top500.de) https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf"
