Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Sewerage,ISIC Division,Education,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Sewerage,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
